epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,14435.2,0.9097,1.10221,1.30801,0.7665,0.76864,0.81764,0.66752,0.70512,0.69902,1.10724,0.0025241,0.0025241,0.0025241
75,14627.1,0.90875,1.09689,1.3052,0.76683,0.76585,0.81719,0.66816,0.70495,0.69945,1.10705,0.00241954,0.00241954,0.00241954
76,14817.5,0.90511,1.09513,1.3053,0.76869,0.7626,0.81672,0.66822,0.70635,0.69926,1.10805,0.00231802,0.00231802,0.00231802
77,15007.7,0.90479,1.0904,1.3039,0.76775,0.76585,0.8172,0.669,0.70636,0.69934,1.10817,0.00221964,0.00221964,0.00221964
78,15197.8,0.90442,1.09004,1.3009,0.76827,0.76549,0.81759,0.6695,0.70615,0.69929,1.10814,0.0021245,0.0021245,0.0021245
79,15395.4,0.90103,1.08568,1.2985,0.7637,0.77805,0.81804,0.66954,0.70582,0.6989,1.10794,0.00203269,0.00203269,0.00203269
80,15603.2,0.89777,1.08415,1.29753,0.76349,0.77687,0.81839,0.66973,0.70592,0.69919,1.10769,0.0019443,0.0019443,0.0019443
81,15807.9,0.89582,1.0814,1.29489,0.7747,0.76317,0.8186,0.66947,0.70649,0.69924,1.10783,0.00185942,0.00185942,0.00185942
82,16009.9,0.89666,1.07759,1.29569,0.77569,0.76423,0.81906,0.67032,0.70631,0.69898,1.10752,0.00177814,0.00177814,0.00177814
83,16215.6,0.89535,1.07845,1.29389,0.77897,0.76098,0.81917,0.6705,0.7065,0.69933,1.10739,0.00170052,0.00170052,0.00170052
84,16422.1,0.89338,1.07738,1.29592,0.77283,0.76341,0.81945,0.67084,0.70628,0.69931,1.10719,0.00162666,0.00162666,0.00162666
85,16621.6,0.89278,1.07059,1.28921,0.77151,0.76317,0.81979,0.67191,0.70586,0.69923,1.1071,0.00155662,0.00155662,0.00155662
86,16815.6,0.8916,1.07268,1.29192,0.77362,0.76341,0.82006,0.67263,0.70621,0.69928,1.10734,0.00149047,0.00149047,0.00149047
87,17008.9,0.88741,1.0674,1.29087,0.77449,0.76341,0.82018,0.67327,0.70589,0.69958,1.10718,0.00142828,0.00142828,0.00142828
88,17205.6,0.88621,1.06571,1.28987,0.76433,0.77522,0.82106,0.67329,0.70564,0.69969,1.10694,0.0013701,0.0013701,0.0013701
89,17406.8,0.88715,1.06591,1.29241,0.7656,0.77642,0.82131,0.67309,0.70537,0.69932,1.10678,0.00131601,0.00131601,0.00131601
90,17604.1,0.88483,1.06306,1.28864,0.7658,0.77628,0.82198,0.67303,0.70576,0.6987,1.1066,0.00126604,0.00126604,0.00126604
91,17803.9,0.88349,1.06377,1.28485,0.76588,0.78049,0.82226,0.67301,0.70597,0.69838,1.10666,0.00122025,0.00122025,0.00122025
92,18000.3,0.88329,1.05834,1.28485,0.76848,0.7772,0.8224,0.67332,0.70599,0.69817,1.10669,0.00117868,0.00117868,0.00117868
93,18194.9,0.88032,1.06039,1.28246,0.77447,0.77057,0.82277,0.67401,0.70607,0.69753,1.1066,0.00114138,0.00114138,0.00114138
94,18388.2,0.88186,1.05646,1.2847,0.77306,0.77561,0.8232,0.6738,0.70531,0.69685,1.1061,0.00110837,0.00110837,0.00110837
95,18583.7,0.88136,1.05555,1.2836,0.77503,0.77305,0.82362,0.67412,0.70541,0.69612,1.10636,0.00107971,0.00107971,0.00107971
96,18779.7,0.88122,1.05846,1.28459,0.7739,0.77361,0.82368,0.67433,0.70572,0.69648,1.10641,0.0010554,0.0010554,0.0010554
97,18974.3,0.88002,1.05364,1.28386,0.77234,0.77642,0.82427,0.6751,0.70576,0.69655,1.1065,0.00103548,0.00103548,0.00103548
98,19170.2,0.87777,1.05341,1.28331,0.77371,0.77553,0.82446,0.67498,0.70555,0.69587,1.10642,0.00101997,0.00101997,0.00101997
99,19363,0.87755,1.05046,1.27852,0.77137,0.7748,0.82433,0.67457,0.70526,0.69599,1.10647,0.00100888,0.00100888,0.00100888
100,19556,0.87564,1.04999,1.27946,0.77273,0.7748,0.82477,0.67525,0.70543,0.69521,1.10653,0.00100222,0.00100222,0.00100222
